Institusjon;Studie- kode;Studienavn;Studie- sted;Utdannings- type;Nøkkeltall;2021;2022;2023;2024;2025;2026;Opptaksgrense 2026 førstegangsvitnemål;Opptaksgrense ordinær kvote
Norges Handelshøyskole;191345;Økonomi og administrasjon - siviløkonom;Bergen;Økonomisk-administrative fag;Førstevalgssøkere;2179;2053;2157;1698;1823;1899;54,8;59,9
Norges Handelshøyskole;191345;Økonomi og administrasjon - siviløkonom;Bergen;Økonomisk-administrative fag;Studieplasser;570;500;500;430;420;425;54,8;59,9
Norges Handelshøyskole;191345;Økonomi og administrasjon - siviløkonom;Bergen;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);35,7 %;36,4 %;36,4 %;34,8 %;35,1 %;34,5 %;54,8;59,9
Norges Handelshøyskole;191345;Økonomi og administrasjon - siviløkonom;Bergen;Økonomisk-administrative fag;Antall kvalifiserte;4586;4228;4448;4240;3984;4109;54,8;59,9
Norges Handelshøyskole;191345;Økonomi og administrasjon - siviløkonom;Bergen;Økonomisk-administrative fag;Antall tilbud;977;904;861;827;774;838;54,8;59,9
Norges miljø- og biovitenskapelige universitet;192369;Økonomi og administrasjon;Ås;Økonomisk-administrative fag;Alle søkere;1132;895;1098;1380;1417;1663;47,5;50,4
Norges miljø- og biovitenskapelige universitet;192369;Økonomi og administrasjon;Ås;Økonomisk-administrative fag;Førstevalgssøkere;175;121;153;231;247;296;47,5;50,4
Norges miljø- og biovitenskapelige universitet;192369;Økonomi og administrasjon;Ås;Økonomisk-administrative fag;Studieplasser;96;60;75;95;95;95;47,5;50,4
Norges miljø- og biovitenskapelige universitet;192369;Økonomi og administrasjon;Ås;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);45,1 %;42,1 %;33,3 %;36,4 %;38,5 %;34,1 %;47,5;50,4
Norges miljø- og biovitenskapelige universitet;192369;Økonomi og administrasjon;Ås;Økonomisk-administrative fag;Antall kvalifiserte;1086;859;1015;1317;1343;1582;47,5;50,4
Norges miljø- og biovitenskapelige universitet;192369;Økonomi og administrasjon;Ås;Økonomisk-administrative fag;Antall tilbud;190;140;148;200;196;196;47,5;50,4
Norges teknisk-naturvitenskapelige universitet;194035;Økonomi og administrasjon;Trondheim;Økonomisk-administrative fag;Alle søkere;4492;3910;4344;4443;4566;4656;52,7;58,2
Norges teknisk-naturvitenskapelige universitet;194035;Økonomi og administrasjon;Trondheim;Økonomisk-administrative fag;Førstevalgssøkere;1110;873;999;1059;1149;1161;52,7;58,2
Norges teknisk-naturvitenskapelige universitet;194035;Økonomi og administrasjon;Trondheim;Økonomisk-administrative fag;Studieplasser;310;205;205;205;190;181;52,7;58,2
Norges teknisk-naturvitenskapelige universitet;194035;Økonomi og administrasjon;Trondheim;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);37,6 %;38,8 %;39,9 %;38,7 %;40,0 %;43,2 %;52,7;58,2
Norges teknisk-naturvitenskapelige universitet;194035;Økonomi og administrasjon;Trondheim;Økonomisk-administrative fag;Antall kvalifiserte;4389;3828;4200;4322;4463;4541;52,7;58,2
Norges teknisk-naturvitenskapelige universitet;194035;Økonomi og administrasjon;Trondheim;Økonomisk-administrative fag;Antall tilbud;580;376;420;450;390;410;52,7;58,2
Norges teknisk-naturvitenskapelige universitet;194345;Økonomi og administrasjon, siviløkonom;Trondheim;Økonomisk-administrative fag;Alle søkere;;1939;2035;2447;2387;2395;54;60,5
Norges teknisk-naturvitenskapelige universitet;194345;Økonomi og administrasjon, siviløkonom;Trondheim;Økonomisk-administrative fag;Førstevalgssøkere;;450;439;496;492;416;54;60,5
Norges teknisk-naturvitenskapelige universitet;194345;Økonomi og administrasjon, siviløkonom;Trondheim;Økonomisk-administrative fag;Studieplasser;;105;105;105;105;105;54;60,5
Norges teknisk-naturvitenskapelige universitet;194345;Økonomi og administrasjon, siviløkonom;Trondheim;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);;36,0 %;42,8 %;49,0 %;47,2 %;51,2 %;54;60,5
