Studiekode;Studienavn;Kolonne1;Lærested;Studiested;Utdanningsområde og -type;Kvote;Opptaksrunde;År;Poenggrense;;
UiT Norges arktiske universitet;186164;Bedriftsøkonomi, deltid;Alta;Økonomisk-administrative fag;Førstevalgssøkere;404;298;374;413;272;235
UiT Norges arktiske universitet;186164;Bedriftsøkonomi, deltid;Alta;Økonomisk-administrative fag;Studieplasser;400;400;400;400;400;400
UiT Norges arktiske universitet;186164;Bedriftsøkonomi, deltid;Alta;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);56,2 %;48,3 %;55,9 %;53,5 %;50,4 %;51,5 %
UiT Norges arktiske universitet;186164;Bedriftsøkonomi, deltid;Alta;Økonomisk-administrative fag;Antall kvalifiserte;1545;1253;1632;1962;1633;1425
UiT Norges arktiske universitet;186164;Bedriftsøkonomi, deltid;Alta;Økonomisk-administrative fag;Antall tilbud;659;448;549;761;564;482
UiT Norges arktiske universitet;186664;Ledelse, deltid;Alta;Økonomisk-administrative fag;Alle søkere;3053;2801;3445;3865;3667;3099
UiT Norges arktiske universitet;186664;Ledelse, deltid;Alta;Økonomisk-administrative fag;Førstevalgssøkere;1228;965;1287;1416;1214;668
UiT Norges arktiske universitet;186664;Ledelse, deltid;Alta;Økonomisk-administrative fag;Studieplasser;800;800;800;800;700;700
UiT Norges arktiske universitet;186664;Ledelse, deltid;Alta;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);62,9 %;64,9 %;64,2 %;62,8 %;62,9 %;61,8 %
UiT Norges arktiske universitet;186664;Ledelse, deltid;Alta;Økonomisk-administrative fag;Antall kvalifiserte;2907;2680;3291;3706;3544;2979
UiT Norges arktiske universitet;186664;Ledelse, deltid;Alta;Økonomisk-administrative fag;Antall tilbud;1100;1200;1100;1200;1200;1200
Universitetet i Innlandet;209215;Offentlig styring, ledelse og økonomi, deltid;Åmot;Økonomisk-administrative fag;Alle søkere;777;519;576;657;;2245
Universitetet i Innlandet;209215;Offentlig styring, ledelse og økonomi, deltid;Åmot;Økonomisk-administrative fag;Førstevalgssøkere;153;94;114;108;;334
Universitetet i Innlandet;209215;Offentlig styring, ledelse og økonomi, deltid;Åmot;Økonomisk-administrative fag;Studieplasser;80;80;80;80;;80
Universitetet i Innlandet;209215;Offentlig styring, ledelse og økonomi, deltid;Åmot;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);64,1 %;61,7 %;57,0 %;52,8 %;;68,6 %
Universitetet i Innlandet;209215;Offentlig styring, ledelse og økonomi, deltid;Åmot;Økonomisk-administrative fag;Antall kvalifiserte;738;491;546;627;;2167
Universitetet i Innlandet;209215;Offentlig styring, ledelse og økonomi, deltid;Åmot;Økonomisk-administrative fag;Antall tilbud;190;178;202;160;;200
Universitetet i Innlandet;209207;Bedriftsøkonomi, deltid;Åmot;Økonomisk-administrative fag;Alle søkere;;1353;1243;1811;1344;1586
Universitetet i Innlandet;209207;Bedriftsøkonomi, deltid;Åmot;Økonomisk-administrative fag;Førstevalgssøkere;;297;234;376;248;294
Universitetet i Innlandet;209207;Bedriftsøkonomi, deltid;Åmot;Økonomisk-administrative fag;Studieplasser;;50;65;65;65;65
Universitetet i Innlandet;209207;Bedriftsøkonomi, deltid;Åmot;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);;57,2 %;54,7 %;58,0 %;57,7 %;58,5 %
Universitetet i Innlandet;209207;Bedriftsøkonomi, deltid;Åmot;Økonomisk-administrative fag;Antall kvalifiserte;;1270;1174;1703;1273;1482
Universitetet i Innlandet;209207;Bedriftsøkonomi, deltid;Åmot;Økonomisk-administrative fag;Antall tilbud;;130;140;120;130;135
Universitetet i Innlandet;209583;Organisasjon og ledelse, deltid, nettbasert;Åmot;Økonomisk-administrative fag;Alle søkere;;3299;3253;3479;3255;3227
Universitetet i Innlandet;209583;Organisasjon og ledelse, deltid, nettbasert;Åmot;Økonomisk-administrative fag;Førstevalgssøkere;;1417;1404;1295;1206;1007
Universitetet i Innlandet;209583;Organisasjon og ledelse, deltid, nettbasert;Åmot;Økonomisk-administrative fag;Studieplasser;;200;220;200;250;350
Universitetet i Innlandet;209583;Organisasjon og ledelse, deltid, nettbasert;Åmot;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);;69,3 %;74,6 %;71,2 %;75,2 %;71,8 %
Universitetet i Innlandet;209583;Organisasjon og ledelse, deltid, nettbasert;Åmot;Økonomisk-administrative fag;Antall kvalifiserte;;3138;3097;3331;3138;3078
Universitetet i Innlandet;209583;Organisasjon og ledelse, deltid, nettbasert;Åmot;Økonomisk-administrative fag;Antall tilbud;;400;440;385;600;620
Universitetet i Stavanger;217097;Økonomi og jus;Stavanger;Økonomisk-administrative fag;Alle søkere;;;;;;3513
Universitetet i Stavanger;217097;Økonomi og jus;Stavanger;Økonomisk-administrative fag;Førstevalgssøkere;;;;;;955
Universitetet i Stavanger;217097;Økonomi og jus;Stavanger;Økonomisk-administrative fag;Studieplasser;;;;;;90
Universitetet i Stavanger;217097;Økonomi og jus;Stavanger;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);;;;;;59,6 %
