;;;;;;;;Semester;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Sum høst;;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;;Bokstav;Tall;;
;;;;;;;;Antallet studenter med vurdering i emnet;48;52;45;17;31;22;71;27;19;14;44;42;15;13;18;37;32;29;43;10;19;18;;;5;28;12;9;7;33;5;29;14;20;14;28;67;4;9;9;6;17;;27;1;2;2;27;2;29;69;1;6;1;2;9;2;;A;5;;
;;;;;;;;Studiepoeng emne;10;10;5;5;5;10;10;5;10;10;5;10;10;10;10;10;5;10;10;5;10;10;;;10;10;10;5;10;5;10;10;10;10;5;10;5;10;10;10;5;10;;10;5;5;10;10;5;10;10;10;10;10;10;10;10;;B;4;;Antall emner
Studieprogram;studentnr;;;;karakter;Tallkarakter master;;Emnekode;AOS325;AOS337;AOS340;BUS211;BUS234;BUS313;BUS315;BUS316;BUS322;BUS325;BUS328;BUS329;BUS338;BUS340;ECN201;ECN280;ECN320;ECN372;ECN380;INN200;INN354;INN360;;;BUS210;BUS215;BUS220;BUS234;BUS260;BUS311;BUS313;BUS323;BUS325;BUS335;BUS336;BUS340;BUS360;ECN271;ECN280;ECN375;INN351;INN365;;AOS325;BUS180;BUS211;BUS220;BUS313;BUS316;BUS322;BUS335;BUS340;ECN201;ECN215;ECN311;ECN372;INN341;;C;3;;
M-ØA;73;;;73;B;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A;;;;;;;A;;C;B;;B;;;;;;;;;B;;C;;;A;; 4,00 ;;;;8
M-ØA;74;;;74;A;5;;;;;;;;;C;;;;B;B;;;;;;;;;;;;;; ;;; ;;;C;;;;;A;;;;;F;;;;;;;;C;B;;;;;;; 3,07 ;;;;10
M-ØA;75;;;75;B;4;;;;;;;;;F;; ;;E;C;;;;;;;;;;;;;;;;;;A;;B;;D;;;B;;;;;;;;;;;;;D;B;;;;;;; 2,67 ;;;;10
M-ØA;76;;;76;A;5;;;;A;A;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;A;B;;;;;C;;B;;;;A;;;B;;;;;;; 4,40 ;;;;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;  ;;;;
;;;;;M-ØA; 4,26 ;Snittkarakter masteroppgave;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gjennomsnitt emner før masteroppgave;; 3,44 ;;;;
;;;;;M-ØA; 0,83 ;Differanse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Semester;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;;Antall emner med karakter;;Bokstav;Tall;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Antallet studenter med vurdering i emnet;21;1;1;1;1;;27;1;1;1;1;1;8;;1;11;1;1;14;1;1;1;;;;A;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Studiepoeng emne;5;5;5;10;10;;10;10;5;10;10;5;5;;5;10;5;5;5;10;10;5;;;;B;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Studieprogram;Studentnummer;;;;Bokstavkarakter;Tallkarakter;;Emnekode;AOS340;BUS211;BUS328;BUS339;INN360;;BIOEC350;BUS210;BUS211;BUS340;ECN210;ECN260;ECN263;;AOS230;AOS237;AOS240;BUS133;BUS211;BUS220;BUS340;ECN120;;;;C;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;77;;;;A;5;;;B;;;;;;B;;;;;;;;;C;;;D;;;; 3,25 ;4;;D;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;78;;;;A;5;;;B;;;;;;B;;;;;;;;;;;;;;;; 4,00 ;2;;E;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;79;;;;A;5;;;;;;;;;A;;;;;;;;;;;;;;;; 5,00 ;1;;F;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;80;;;;A;5;;;A;A;;;;;A;;;;;;;;;;;;;;;; 5,00 ;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;81;;;;B;4;;;B;;;;A;;B;;;;;;D;;;C;;;A;;;; 3,73 ;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;82;;;;D;2;;;;;;;;;B;;;;;;C;;;;;;;;;; 3,50 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;83;;;;B;4;;;A;;;;;;C;;;;;;;;;C;;;B;;;; 3,75 ;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;84;;;;A;5;;;;;;;;;B;;;;;;C;;;;;;;;;; 3,50 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;85;;;;A;5;;;A;;;;;;C;;;;;;;;;;;;;;;; 4,00 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;86;;;;A;5;;;A;;;;;;B;;;;;;;;;B;;;B;;;; 4,25 ;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;87;;;;A;5;;;B;;;;;;C;;;;;;;;;B;;;B;;;; 3,75 ;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;88;;;;B;4;;;C;;;;;;B;;;;;;;;;;;;;;;; 3,50 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;89;;;;C;3;;;;;;A;;;;B;;;C;0;;;;;C;;;C;;B; 3,71 ;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;90;;;;D;2;;;B;;;;;;A;;;;;;C;;;;;;0;;;; 4,00 ;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;91;;;;A;5;;;A;;;;;;A;;B;B;;;0;;;;;;0;;;; 4,50 ;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;92;;;;B;4;;;A;;;;;;B;;;;;;;;;;;;;;;; 4,50 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M30-BIOEC;93;;;;A;5;;;A;;;;;;A;;;;;;;;;;;;B;;;; 4,67 ;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
