Emne;Studiested (kort);Studiested (fullt navn);Emnekode;Offisielt emnenavn (Karakterweb);År;Semester (ordinær);Kandidater;Karakterskala;Snittkarakter (A=5..F=0);Strykprosent;A;B;C;D;E;F;Bestått;Ikke bestått;Merknad
Finansregnskap;BI;Handelshøyskolen BI;bøk35325;Finansregnsk. & regnsk.analyse;2025;Høst;1729;A-F;2.6;19.8;67;224;480;314;302;342;;;Emnekode i kildefila fantes ikke direkte hos Karakterweb (BI deler emner i nummererte seksjoner). Brukt seksjon 'bøk35325' (flest deltakere, bokstavkarakter A-F), bekreftet manuelt av bruker for Finansregnskap.
Finansregnskap;HIØ;Høgskolen i Østfold;SFB10419;Finansregnskap med analyse 1;2023;Høst;140;A-F;2.97;20.0;13;24;39;19;17;28;;;
Finansregnskap;HIØ;Høgskolen i Østfold;SFB10419;Finansregnskap med analyse 1;2024;Høst;181;A-F;2.88;11.6;18;36;46;29;31;21;;;
Finansregnskap;HIØ;Høgskolen i Østfold;SFB10419;Finansregnskap med analyse 1;2025;Høst;151;A-F;3.04;17.2;17;28;40;23;17;26;;;
Finansregnskap;HVL;Høgskulen på Vestlandet;BØA117;Finansregnskap med analyse;2023;Vår;302;A-F;2.93;14.9;28;49;89;60;31;45;;;
Finansregnskap;HVL;Høgskulen på Vestlandet;BØA117;Finansregnskap med analyse;2024;Vår;313;A-F;3.11;23.6;45;51;63;46;34;74;;;
Finansregnskap;HVL;Høgskulen på Vestlandet;BØA117;Finansregnskap med analyse;2025;Vår;277;A-F;3.22;23.5;43;54;51;34;30;65;;;
Finansregnskap;HiMolde;Høgskolen i Molde;BØK105;Finansregnskap 1;2023;Høst;244;A-F;2.3;32.4;6;20;38;54;47;79;;;
Finansregnskap;HiMolde;Høgskolen i Molde;BØK105;Finansregnskap 1;2024;Høst;233;A-F;2.73;21.9;19;41;40;36;46;51;;;
Finansregnskap;HiMolde;Høgskolen i Molde;BØK105;Finansregnskap 1;2025;Høst;233;A-F;2.58;14.2;19;33;43;55;50;33;;;
Finansregnskap;INN Lillh;Høgskolen i Innlandet (Lillehammer);ØKA1012;Grunnleggende regnskap;2025;Høst;111;A-F;2.54;45.1;5;15;9;11;21;50;;;
Finansregnskap;INN Rena;Høgskolen i Innlandet (Rena);3REV100;Grunnleggende regnskap;2025;Høst;68;A-F;3.46;20.6;10;19;15;6;4;14;;;
Finansregnskap;Kristiania;Høyskolen Kristiania;FRG3101;Finansregnskap;2023;Vår;122;A-F;2.96;19.7;15;23;21;21;18;24;;;
Finansregnskap;Kristiania;Høyskolen Kristiania;FRG3101;Finansregnskap;2024;Vår;123;A-F;2.36;23.6;6;14;20;22;32;29;;;
Finansregnskap;Kristiania;Høyskolen Kristiania;FRG3101;Finansregnskap;2025;Vår;121;A-F;2.36;26.5;6;11;19;26;27;32;;;
Finansregnskap;NHH;Norges Handelshøyskole;BED2;Finansregnskap;2023;Høst;471;A-F;3.15;7.0;59;114;140;85;40;33;;;
Finansregnskap;NHH;Norges Handelshøyskole;BED2;Finansregnskap;2024;Høst;473;A-F;3.28;4.2;66;131;155;68;33;20;;;
Finansregnskap;NHH;Norges Handelshøyskole;BED2;Finansregnskap;2025;Høst;404;A-F;3.34;7.4;67;107;116;53;31;30;;;
Finansregnskap;NLA;NLA Høgskolen;HSM124;Finansregnskap og regnskapsanalyse;2024;Vår;212;A-F;2.08;48.6;6;6;23;30;44;103;;;
Finansregnskap;NLA;NLA Høgskolen;HSM124;Finansregnskap og regnskapsanalyse;2025;Vår;398;A-F;2.49;50.5;10;29;63;41;54;201;;;
Finansregnskap;NMBU;Norges miljø- og biovitenskapelige universitet (NMBU);BUS110;Finansregnskap og regnskapsanalyse;2023;Vår;182;A-F;2.23;13.2;6;21;28;52;51;24;;;
Finansregnskap;NMBU;Norges miljø- og biovitenskapelige universitet (NMBU);BUS110;Finansregnskap og regnskapsanalyse;2024;Vår;188;A-F;2.98;12.2;21;35;54;29;26;23;;;
Finansregnskap;NMBU;Norges miljø- og biovitenskapelige universitet (NMBU);BUS110;Finansregnskap og regnskapsanalyse;2025;Vår;244;A-F;2.63;18.9;14;28;61;60;35;46;;;
Finansregnskap;NORD;Nord universitet;FIN1001;Innføring i regnskap;2023;Vår;190;A-F;2.7;27.4;15;26;28;40;29;52;;;
Finansregnskap;NORD;Nord universitet;FIN1001;Innføring i regnskap;2024;Vår;196;A-F;2.74;26.0;10;34;41;28;32;51;;;
Finansregnskap;NORD;Nord universitet;FIN1001;Innføring i regnskap;2025;Vår;205;A-F;2.88;35.6;22;23;34;23;30;73;;;
Finansregnskap;NTNU Gjøvik;NTNU (Gjøvik);SMF1197;Finansregnskap med analyse;2023;Vår;74;A-F;2.81;29.7;8;5;18;11;10;22;;;
Finansregnskap;NTNU Gjøvik;NTNU (Gjøvik);SMF1197;Finansregnskap med analyse;2024;Vår;87;A-F;2.31;36.8;5;4;14;12;20;32;;;
Finansregnskap;NTNU Gjøvik;NTNU (Gjøvik);SMF1197;Finansregnskap med analyse;2025;Vår;113;A-F;2.45;21.2;11;13;9;28;28;24;;;
Finansregnskap;NTNU Trondheim;NTNU (Trondheim);BØA1200;Finansregnskap med analyse;2023;Vår;308;A-F;3.73;9.1;122;46;52;33;27;28;;;
Finansregnskap;NTNU Trondheim;NTNU (Trondheim);BØA1200;Finansregnskap med analyse;2024;Vår;319;A-F;3.42;6.6;74;88;64;32;40;21;;;
Finansregnskap;NTNU Trondheim;NTNU (Trondheim);BØA1200;Finansregnskap med analyse;2025;Vår;345;A-F;3.45;8.1;94;80;60;40;43;28;;;
Finansregnskap;NTNU Ålesund;NTNU (Ålesund);AE101308;Finansregnskap med analyse;2023;Vår;115;A-F;2.88;55.6;11;8;6;16;10;64;;;
Finansregnskap;NTNU Ålesund;NTNU (Ålesund);AE101308;Finansregnskap med analyse;2024;Vår;142;A-F;2.29;26.8;5;17;20;23;39;38;;;
Finansregnskap;NTNU Ålesund;NTNU (Ålesund);AE101308;Finansregnskap med analyse;2025;Vår;98;A-F;2.91;21.4;16;12;16;15;18;21;;;
Finansregnskap;ONH;Oslo Nye Høyskole;ØKAD1220;Finansregnskap;2023;Høst;32;A-F;3;0;7;4;8;8;5;0;;;
Finansregnskap;ONH;Oslo Nye Høyskole;ØKAD1220;Finansregnskap;2024;Vår;46;A-F;2.91;0;9;9;7;11;10;0;;;
Finansregnskap;ONH;Oslo Nye Høyskole;ØKAD1220;Finansregnskap;2025;Vår;89;A-F;3.22;0;21;19;22;13;14;0;;;
Finansregnskap;OsloMet;OsloMet – storbyuniversitetet;ØABED1000;Grunnleggende årsregnskap med Excel;2023;Høst;423;A-F;2.61;18.9;23;36;136;81;67;80;;;
Finansregnskap;OsloMet;OsloMet – storbyuniversitetet;ØABED1000;Grunnleggende årsregnskap med Excel;2024;Høst;387;A-F;2.66;26.1;21;36;111;61;57;101;;;
Finansregnskap;OsloMet;OsloMet – storbyuniversitetet;ØABED1000;Grunnleggende årsregnskap med Excel;2025;Høst;404;A-F;2.94;28.7;46;36;107;53;46;116;;;
Finansregnskap;USN;Universitetet i Sørøst-Norge;REG1010;Finansregnskap med analyse;2025;Vår;504;A-F;2.28;39.1;28;38;50;68;123;197;;;
Finansregnskap;UiA;Universitetet i Agder;BE-111;Innføring i finansregnskap;2023;Høst;331;A-F;3.54;7.0;81;83;85;40;19;23;;;
Finansregnskap;UiA;Universitetet i Agder;BE-111;Innføring i finansregnskap;2024;Høst;353;A-F;3.38;6.2;68;91;96;50;26;22;;;
Finansregnskap;UiA;Universitetet i Agder;BE-111;Innføring i finansregnskap;2025;Høst;357;A-F;3.2;11.2;60;80;84;50;43;40;;;
Finansregnskap;UiS;Universitetet i Stavanger;BØK195;Grunnleggende regnskap og bedriftsøkonomi;2023;Høst;142;A-F;2.36;25.4;7;12;30;20;37;36;;;
Finansregnskap;UiS;Universitetet i Stavanger;BØK195;Grunnleggende regnskap og bedriftsøkonomi;2024;Høst;196;A-F;2.23;34.7;6;12;35;28;47;68;;;
Finansregnskap;UiS;Universitetet i Stavanger;BØK195;Grunnleggende regnskap og bedriftsøkonomi;2025;Høst;244;A-F;3.15;2.1;20;81;74;44;20;5;;;
Finansregnskap;UiT;UiT Norges arktiske universitet;BED-1002;Grunnleggende regnskap og analyse;2023;Vår;200;A-F;2.36;30.0;5;18;40;36;41;60;;;
Finansregnskap;UiT;UiT Norges arktiske universitet;BED-1002;Grunnleggende regnskap og analyse;2024;Vår;259;A-F;2.43;24.7;20;28;37;41;69;64;;;
Finansregnskap;UiT;UiT Norges arktiske universitet;BED-1002;Grunnleggende regnskap og analyse;2025;Vår;206;A-F;3.01;18.0;28;29;56;28;28;37;;;
Foretaksstrategi;BI;Handelshøyskolen BI;str36101;Doing Sustainable Business;2025;Vår;121;A-F;4.07;0;28;74;19;0;0;0;;;Emnekode i kildefila fantes ikke direkte hos Karakterweb (BI deler emner i nummererte seksjoner). Brukt seksjon 'str36101' (flest deltakere, bokstavkarakter A-F), bekreftet manuelt av bruker for Finansregnskap.
Foretaksstrategi;HIØ;Høgskolen i Østfold;ØKA121;Bærekraft og foretaksstrategi;2023;Høst;84;A-F;3.15;0;11;17;36;14;6;0;;;
Foretaksstrategi;HIØ;Høgskolen i Østfold;ØKA121;Bærekraft og foretaksstrategi;2024;Høst;116;A-F;2.62;10.3;7;22;21;32;22;12;;;
Foretaksstrategi;HIØ;Høgskolen i Østfold;ØKA121;Bærekraft og foretaksstrategi;2025;Høst;148;A-F;2.56;11.5;3;27;37;37;27;17;;;
Foretaksstrategi;HVL;Høgskulen på Vestlandet;ØAO016;Strategi og virksomhetsutvikling;2023;Vår;116;A-F;2.72;0;0;25;42;40;9;0;;;
Foretaksstrategi;HVL;Høgskulen på Vestlandet;ØAO016;Strategi og virksomhetsutvikling;2024;Vår;124;A-F;3.52;0;13;38;73;0;0;0;;;
Foretaksstrategi;HVL;Høgskulen på Vestlandet;ØAO016;Strategi og virksomhetsutvikling;2025;Vår;138;A-F;3.88;0;20;81;37;0;0;0;;;
Foretaksstrategi;HiMolde;Høgskolen i Molde;ADM300;Foretaksstrategi;2023;Høst;167;A-F;3.46;4.8;24;61;46;20;8;8;;;
Foretaksstrategi;HiMolde;Høgskolen i Molde;ADM300;Foretaksstrategi;2024;Høst;155;A-F;3.87;7.7;47;47;32;17;0;12;;;
Foretaksstrategi;HiMolde;Høgskolen i Molde;ADM300;Foretaksstrategi;2025;Høst;120;A-F;3.93;5.8;34;44;28;7;0;7;;;
Foretaksstrategi;INN Lillh;Høgskolen i Innlandet (Lillehammer);ØKA1021;Strategy;2025;Høst;151;A-F;3.03;9.9;3;44;52;28;9;15;;;
Foretaksstrategi;INN Rena;Høgskolen i Innlandet (Rena);3LED300;Strategi;2025;Høst;95;A-F;3.86;3.2;35;26;20;5;6;3;;;
Foretaksstrategi;Kristiania;Høyskolen Kristiania;FST3100;Foretaksstrategi;2023;Vår;66;A-F;2.63;6.1;10;8;7;23;14;4;;;
Foretaksstrategi;Kristiania;Høyskolen Kristiania;FST3100;Foretaksstrategi;2024;Vår;62;A-F;3.58;0;6;30;20;6;0;0;;;
Foretaksstrategi;Kristiania;Høyskolen Kristiania;FST3100;Foretaksstrategi;2025;Vår;46;A-F;3.46;0;7;14;18;7;0;0;;;
Foretaksstrategi;NHH;Norges Handelshøyskole;SOL4;Strategisk ledelse;2023;Vår;361;A-F;4.05;1.4;106;175;63;12;0;5;;;
Foretaksstrategi;NHH;Norges Handelshøyskole;SOL4;Strategisk ledelse;2024;Vår;360;A-F;4.09;1.1;92;219;34;8;3;4;;;
Foretaksstrategi;NHH;Norges Handelshøyskole;SOL4;Strategisk ledelse;2025;Vår;432;A-F;3.88;0;71;246;105;10;0;0;;;
Foretaksstrategi;NLA;NLA Høgskolen;HSM221;Strategi, samfunnsansvar og bærekraft;2024;Høst;162;A-F;3.62;0;25;64;60;13;0;0;;;
Foretaksstrategi;NLA;NLA Høgskolen;HSM221;Strategi, samfunnsansvar og bærekraft;2025;Høst;250;A-F;3.4;0;29;82;106;25;8;0;;;
Foretaksstrategi;NMBU;Norges miljø- og biovitenskapelige universitet (NMBU);AOS237;Foretaksstrategi;2023;Høst;77;A-F;3.26;5.2;9;21;27;12;4;4;;;
Foretaksstrategi;NMBU;Norges miljø- og biovitenskapelige universitet (NMBU);AOS237;Foretaksstrategi;2024;Høst;100;A-F;3.26;0;12;29;38;15;6;0;;;
Foretaksstrategi;NMBU;Norges miljø- og biovitenskapelige universitet (NMBU);AOS237;Foretaksstrategi;2025;Høst;132;A-F;3.4;2.3;9;46;62;12;0;3;;;
Foretaksstrategi;NORD;Nord universitet;ORG2001;Internasjonal foretagsstrategi;2023;Vår;107;A-F;4.06;2.8;42;34;24;0;4;3;;;
Foretaksstrategi;NORD;Nord universitet;ORG2001;Internasjonal foretagsstrategi;2024;Vår;76;A-F;4.33;0;42;20;11;3;0;0;;;
Foretaksstrategi;NORD;Nord universitet;ORG2001;Internasjonal foretagsstrategi;2025;Vår;89;A-F;3.33;4.5;18;18;29;14;6;4;;;
Foretaksstrategi;NTNU Gjøvik;NTNU (Gjøvik);SMF2281;Foretaksstrategi;2023;Vår;49;A-F;3.35;0;6;19;14;6;4;0;;;
Foretaksstrategi;NTNU Gjøvik;NTNU (Gjøvik);SMF2281;Foretaksstrategi;2024;Vår;67;A-F;2.91;0;4;4;41;18;0;0;;;
Foretaksstrategi;NTNU Gjøvik;NTNU (Gjøvik);SMF2281;Foretaksstrategi;2025;Vår;65;A-F;3.23;0;11;9;29;16;0;0;;;
Foretaksstrategi;NTNU Trondheim;NTNU (Trondheim);ORG2002;Foretaksstrategi;2023;Vår;276;A-F;3.13;0;20;69;124;52;11;0;;;
Foretaksstrategi;NTNU Trondheim;NTNU (Trondheim);ORG2002;Foretaksstrategi;2024;Vår;332;A-F;3.6;1.2;49;135;108;36;0;4;;;
Foretaksstrategi;NTNU Trondheim;NTNU (Trondheim);ORG2002;Foretaksstrategi;2025;Vår;309;A-F;3.57;0;50;108;119;32;0;0;;;
Foretaksstrategi;NTNU Ålesund;NTNU (Ålesund);AL201308;Foretaksstrategi;2023;Vår;83;A-F;2.88;0;3;17;36;21;6;0;;;
Foretaksstrategi;NTNU Ålesund;NTNU (Ålesund);AL201308;Foretaksstrategi;2024;Vår;116;A-F;3.41;0;22;22;54;18;0;0;;;
Foretaksstrategi;NTNU Ålesund;NTNU (Ålesund);AL201308;Foretaksstrategi;2025;Vår;95;A-F;3.95;0;11;68;16;0;0;0;;;
Foretaksstrategi;ONH;Oslo Nye Høyskole;ØKAD2240;Strategi;2023;Vår;22;A-F;3.68;0;5;5;12;0;0;0;;;
Foretaksstrategi;ONH;Oslo Nye Høyskole;ØKAD2240;Strategi;2024;Vår;47;A-F;3.38;0;7;13;18;9;0;0;;;
Foretaksstrategi;ONH;Oslo Nye Høyskole;ØKAD2240;Strategi;2025;Vår;104;A-F;3.29;0;8;34;45;14;3;0;;;
Foretaksstrategi;OsloMet;OsloMet – storbyuniversitetet;ØAADM2000;Foretaksstrategi;2023;Vår;182;A-F;3.17;0;15;43;92;22;10;0;;;
Foretaksstrategi;OsloMet;OsloMet – storbyuniversitetet;ØAADM2000;Foretaksstrategi;2024;Vår;219;A-F;3.33;2.3;20;78;85;14;17;5;;;
Foretaksstrategi;OsloMet;OsloMet – storbyuniversitetet;ØAADM2000;Foretaksstrategi;2025;Vår;294;A-F;2.88;3.4;11;69;103;78;23;10;;;
Foretaksstrategi;USN;Universitetet i Sørøst-Norge;STR1000;Strategisk ledelse;2024;Høst;434;A-F;3.29;0.7;54;132;143;91;11;3;;;
Foretaksstrategi;USN;Universitetet i Sørøst-Norge;STR1000;Strategisk ledelse;2025;Høst;545;A-F;3.59;0;92;179;230;44;0;0;;;
Foretaksstrategi;UiA;Universitetet i Agder;ORG126;Innovasjon og entreprenørskap;2023;Høst;309;A-F;3.45;0;23;131;117;38;0;0;;;
Foretaksstrategi;UiA;Universitetet i Agder;ORG126;Innovasjon og entreprenørskap;2024;Høst;357;A-F;3.99;0;90;178;86;3;0;0;;;
Foretaksstrategi;UiA;Universitetet i Agder;ORG126;Innovasjon og entreprenørskap;2025;Høst;372;A-F;3.65;1.1;65;149;113;41;0;4;;;
Foretaksstrategi;UiS;Universitetet i Stavanger;BØK235;Strategy;2022;Vår;191;A-F;3.57;0;29;66;81;15;0;0;;;
Foretaksstrategi;UiS;Universitetet i Stavanger;BØK235;Strategy;2023;Vår;0;A-F;;;0;0;0;0;0;0;;;
Foretaksstrategi;UiS;Universitetet i Stavanger;BØK235;Strategy;2025;Vår;157;A-F;3.59;0;34;56;40;22;5;0;;;
Foretaksstrategi;UiT;UiT Norges arktiske universitet;BED-2003;Foretaksstrategi;2023;Vår;211;A-F;3.69;0;42;74;83;12;0;0;;;
Foretaksstrategi;UiT;UiT Norges arktiske universitet;BED-2003;Foretaksstrategi;2024;Vår;191;A-F;3.49;0;16;86;68;18;3;0;;;
Foretaksstrategi;UiT;UiT Norges arktiske universitet;BED-2003;Foretaksstrategi;2025;Vår;201;A-F;3.2;0;7;60;109;17;8;0;;;
Investering og finansiering;BI;Handelshøyskolen BI;bøk34233;Finans;2024;Vår;2480;A-F;2.25;23.5;108;187;410;559;633;583;;;Emnekode i kildefila fantes ikke direkte hos Karakterweb (BI deler emner i nummererte seksjoner). Brukt seksjon 'bøk34233' (flest deltakere, bokstavkarakter A-F), bekreftet manuelt av bruker for Finansregnskap.
Investering og finansiering;BI;Handelshøyskolen BI;bøk34233;Finans;2025;Vår;3083;A-F;2.58;19.6;256;360;626;566;670;605;;;Emnekode i kildefila fantes ikke direkte hos Karakterweb (BI deler emner i nummererte seksjoner). Brukt seksjon 'bøk34233' (flest deltakere, bokstavkarakter A-F), bekreftet manuelt av bruker for Finansregnskap.
Investering og finansiering;HIØ;Høgskolen i Østfold;SFB11016;Investering og finansiering;2023;Vår;103;A-F;2.68;17.5;16;11;13;20;25;18;;;
Investering og finansiering;HIØ;Høgskolen i Østfold;SFB11016;Investering og finansiering;2024;Vår;96;A-F;3.02;11.5;7;21;31;19;7;11;;;
Investering og finansiering;HIØ;Høgskolen i Østfold;SFB11016;Investering og finansiering;2025;Vår;103;A-F;2.86;16.5;9;23;21;13;20;17;;;
Investering og finansiering;HVL;Høgskulen på Vestlandet;BØA204;Investering og finansiering;2023;Høst;255;A-F;3.37;11.8;64;52;44;33;32;30;;;
Investering og finansiering;HVL;Høgskulen på Vestlandet;BØA204;Investering og finansiering;2024;Høst;275;A-F;3.12;19.6;43;51;57;30;40;54;;;
Investering og finansiering;HVL;Høgskulen på Vestlandet;BØA204;Investering og finansiering;2025;Høst;297;A-F;3.15;19.2;38;70;58;38;36;57;;;
Investering og finansiering;HiMolde;Høgskolen i Molde;BØK300;Finansiell- og økonomisk styring;2023;Høst;52;A-F;2.24;34.6;0;7;6;9;12;18;;;
Investering og finansiering;HiMolde;Høgskolen i Molde;BØK300;Finansiell- og økonomisk styring;2024;Høst;66;A-F;2.73;37.9;5;6;10;13;7;25;;;
Investering og finansiering;HiMolde;Høgskolen i Molde;BØK300;Finansiell- og økonomisk styring;2025;Høst;69;A-F;2.98;42.0;9;8;6;7;10;29;;;
Investering og finansiering;INN Lillh;Høgskolen i Innlandet (Lillehammer);ØKA1019;Investments and Financial Management;2025;Vår;77;A-F;2.78;23.4;11;11;8;12;17;18;;;
Investering og finansiering;INN Rena;Høgskolen i Innlandet (Rena);3BED200;Investering og finansiering;2025;Vår;74;A-F;2.09;37.8;0;4;14;10;18;28;;;
Investering og finansiering;Kristiania;Høyskolen Kristiania;IOJ3100;Investering og finansiering;2023;Vår;91;A-F;2.76;18.7;8;16;17;16;17;17;;;
Investering og finansiering;Kristiania;Høyskolen Kristiania;IOJ3100;Investering og finansiering;2024;Vår;117;A-F;2.71;25.6;6;22;15;29;15;30;;;
Investering og finansiering;Kristiania;Høyskolen Kristiania;IOJ3100;Investering og finansiering;2025;Vår;110;A-F;2.89;34.5;6;23;15;13;15;38;;;
Investering og finansiering;NHH;Norges Handelshøyskole;BED3;Investering og finans;2023;Vår;308;A-F;3.43;5.8;53;95;90;29;23;18;;;
Investering og finansiering;NHH;Norges Handelshøyskole;BED3;Investering og finans;2024;Vår;354;A-F;3.16;7.3;33;96;122;44;33;26;;;
Investering og finansiering;NHH;Norges Handelshøyskole;BED3;Investering og finans;2025;Vår;377;A-F;3.34;3.7;48;135;102;48;30;14;;;
Investering og finansiering;NLA;NLA Høgskolen;ØKAD221;Investering og finansiering;2024;Høst;90;A-F;2.59;30.0;7;11;13;13;19;27;;;
Investering og finansiering;NLA;NLA Høgskolen;ØKAD221;Investering og finansiering;2025;Høst;166;A-F;2.75;42.8;13;19;21;15;27;71;;;
Investering og finansiering;NMBU;Norges miljø- og biovitenskapelige universitet (NMBU);BUS220;Finansiering og investering;2023;Høst;147;A-F;3.03;27.9;16;23;30;22;15;41;;;
Investering og finansiering;NMBU;Norges miljø- og biovitenskapelige universitet (NMBU);BUS220;Finansiering og investering;2024;Høst;166;A-F;3.1;19.3;16;34;46;24;14;32;;;
Investering og finansiering;NMBU;Norges miljø- og biovitenskapelige universitet (NMBU);BUS220;Finansiering og investering;2025;Høst;201;A-F;3.64;17.4;53;45;37;18;13;35;;;
Investering og finansiering;NORD;Nord universitet;FIN1002;Finansiering og investering;2023;Høst;131;A-F;2.9;3.8;9;23;52;31;11;5;;;
Investering og finansiering;NORD;Nord universitet;FIN1002;Finansiering og investering;2024;Høst;106;A-F;2.37;17.9;4;8;26;27;22;19;;;
Investering og finansiering;NORD;Nord universitet;FIN1002;Finansiering og investering;2025;Høst;117;A-F;2.78;27.4;8;21;18;20;18;32;;;
Investering og finansiering;NTNU Gjøvik;NTNU (Gjøvik);SMF2296;Investering og finansiering;2023;Vår;52;A-F;2.5;61.5;0;6;3;6;5;32;;;
Investering og finansiering;NTNU Gjøvik;NTNU (Gjøvik);SMF2296;Investering og finansiering;2024;Vår;83;A-F;2.06;37.4;3;7;4;14;24;31;;;
Investering og finansiering;NTNU Gjøvik;NTNU (Gjøvik);SMF2296;Investering og finansiering;2025;Vår;76;A-F;2.86;53.9;9;5;3;8;10;41;;;
Investering og finansiering;NTNU Trondheim;NTNU (Trondheim);BØA2200;Investering og finansiering;2023;Vår;248;A-F;3.42;14.9;58;48;51;32;22;37;;;
Investering og finansiering;NTNU Trondheim;NTNU (Trondheim);BØA2200;Investering og finansiering;2024;Vår;282;A-F;3.02;12.4;34;53;81;42;37;35;;;
Investering og finansiering;NTNU Trondheim;NTNU (Trondheim);BØA2200;Investering og finansiering;2025;Vår;313;A-F;3;15.7;48;51;67;49;49;49;;;
Investering og finansiering;NTNU Ålesund;NTNU (Ålesund);AE201115;Investering og finansiering;2023;Vår;40;A-F;2.61;55.0;0;6;3;5;4;22;;;
Investering og finansiering;NTNU Ålesund;NTNU (Ålesund);AE201115;Investering og finansiering;2024;Vår;71;A-F;3.16;28.2;12;9;12;11;7;20;;;
Investering og finansiering;NTNU Ålesund;NTNU (Ålesund);AE201115;Investering og finansiering;2025;Vår;51;A-F;3.9;17.6;15;14;7;6;0;9;;;
Investering og finansiering;ONH;Oslo Nye Høyskole;ØKAD2230;Corporate Finance;2023;Vår;5;A-F;4;0;0;5;0;0;0;0;;;
Investering og finansiering;ONH;Oslo Nye Høyskole;ØKAD2230;Corporate Finance;2024;Vår;17;A-F;2.18;0;0;3;3;5;6;0;;;
Investering og finansiering;ONH;Oslo Nye Høyskole;ØKAD2230;Corporate Finance;2025;Vår;34;A-F;2.62;0;0;9;11;6;8;0;;;
Investering og finansiering;OsloMet;OsloMet – storbyuniversitetet;ØABED2000;Investering og finansiering;2023;Høst;217;A-F;3.68;12.0;58;61;41;15;16;26;;;
Investering og finansiering;OsloMet;OsloMet – storbyuniversitetet;ØABED2000;Investering og finansiering;2024;Høst;312;A-F;3.54;16.7;82;62;59;29;28;52;;;
Investering og finansiering;OsloMet;OsloMet – storbyuniversitetet;ØABED2000;Investering og finansiering;2025;Høst;277;A-F;3.7;18.4;72;71;45;20;18;51;;;
Investering og finansiering;USN;Universitetet i Sørøst-Norge;FIN2000;Finansiering og investering;2024;Høst;347;A-F;2.54;28.0;21;39;62;61;67;97;;;
Investering og finansiering;USN;Universitetet i Sørøst-Norge;FIN2000;Finansiering og investering;2025;Høst;412;A-F;2.71;34.2;36;48;57;62;68;141;;;
Investering og finansiering;UiA;Universitetet i Agder;BE-210;Investering og finansiering;2023;Vår;231;A-F;3.05;8.7;26;51;64;47;23;20;;;
Investering og finansiering;UiA;Universitetet i Agder;BE-210;Investering og finansiering;2024;Vår;231;A-F;2.82;7.8;18;40;71;53;31;18;;;
Investering og finansiering;UiA;Universitetet i Agder;BE-210;Investering og finansiering;2025;Vår;194;A-F;2.85;14.9;15;30;60;35;25;29;;;
Investering og finansiering;UiS;Universitetet i Stavanger;BØK260;Corporate Finance;2023;Høst;237;A-F;2.9;16.5;29;46;38;46;39;39;;;
Investering og finansiering;UiS;Universitetet i Stavanger;BØK260;Corporate Finance;2024;Høst;174;A-F;2.73;24.1;12;34;25;29;32;42;;;
Investering og finansiering;UiS;Universitetet i Stavanger;BØK260;Corporate Finance;2025;Høst;213;A-F;3.35;10.8;29;67;52;25;17;23;;;
Investering og finansiering;UiT;UiT Norges arktiske universitet;BED-2303;Investering og finansiering;2025;Høst;147;A-F;3.96;0;47;61;28;8;3;0;;;
