Institusjon;Studie- kode;Studienavn;Studie- sted;Utdannings- type;Nøkkeltall;2021;2022;2023;2024;2025;2026
185698;Samfunnsøkonomisk analyse;UIO;;ØKADM;Ordinær kvote;Hovedopptak;2023;54,5;;;
185698;Samfunnsøkonomisk analyse;UIO;;ØKADM;Ordinær kvote;Hovedopptak;2022;52,6;;;
185698;Samfunnsøkonomisk analyse;UIO;;ØKADM;Ordinær kvote;Hovedopptak;2021;55,5;;;
185698;Samfunnsøkonomisk analyse;UIO;Oslo;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;45,7;;;
185698;Samfunnsøkonomisk analyse;UIO;Oslo;ØKADM;Ordinær kvote;Hovedopptak;2026;57,6;;;
185898;Samfunnsøkonomi, bachelor;UIO;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;50,3;;;
185898;Samfunnsøkonomi, bachelor;UIO;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;50;;;
185898;Samfunnsøkonomi, bachelor;UIO;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2023;50;;;
185898;Samfunnsøkonomi, bachelor;UIO;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2022;49,5;;;
185898;Samfunnsøkonomi, bachelor;UIO;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2021;48,7;;;
185898;Samfunnsøkonomi, bachelor;UIO;;ØKADM;Ordinær kvote;Hovedopptak;2025;60,5;;;
185898;Samfunnsøkonomi, bachelor;UIO;;ØKADM;Ordinær kvote;Hovedopptak;2024;60,5;;;
185898;Samfunnsøkonomi, bachelor;UIO;;ØKADM;Ordinær kvote;Hovedopptak;2023;57,1;;;
185898;Samfunnsøkonomi, bachelor;UIO;;ØKADM;Ordinær kvote;Hovedopptak;2022;54,8;;;
185898;Samfunnsøkonomi, bachelor;UIO;;ØKADM;Ordinær kvote;Hovedopptak;2021;56,5;;;
185898;Samfunnsøkonomi, bachelor;UIO;Oslo;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;50,5;;;
185898;Samfunnsøkonomi, bachelor;UIO;Oslo;ØKADM;Ordinær kvote;Hovedopptak;2026;61,1;;;
186898;Samfunnsøkonomi med datavitenskap;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;0;;;
186898;Samfunnsøkonomi med datavitenskap;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;0;;;
186898;Samfunnsøkonomi med datavitenskap;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2023;0;;;
186898;Samfunnsøkonomi med datavitenskap;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2022;0;;;
186898;Samfunnsøkonomi med datavitenskap;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2021;0;;;
186898;Samfunnsøkonomi med datavitenskap;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2025;0;;;
186898;Samfunnsøkonomi med datavitenskap;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2024;0;;;
186898;Samfunnsøkonomi med datavitenskap;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2023;0;;;
186898;Samfunnsøkonomi med datavitenskap;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2022;0;;;
186898;Samfunnsøkonomi med datavitenskap;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2021;0;;;
186898;Samfunnsøkonomi med datavitenskap;UIT;Tromsø;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;0;;;
186898;Samfunnsøkonomi med datavitenskap;UIT;Tromsø;ØKADM;Ordinær kvote;Hovedopptak;2026;0;;;
192468;Samfunnsøkonomi;NMBU;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;44,7;;;
192468;Samfunnsøkonomi;NMBU;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;44,8;;;
192468;Samfunnsøkonomi;NMBU;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2023;45,2;;;
192468;Samfunnsøkonomi;NMBU;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2022;44,2;;;
192468;Samfunnsøkonomi;NMBU;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2021;43,1;;;
192468;Samfunnsøkonomi;NMBU;;ØKADM;Ordinær kvote;Hovedopptak;2025;47,5;;;
192468;Samfunnsøkonomi;NMBU;;ØKADM;Ordinær kvote;Hovedopptak;2024;48;;;
192468;Samfunnsøkonomi;NMBU;;ØKADM;Ordinær kvote;Hovedopptak;2023;48,4;;;
192468;Samfunnsøkonomi;NMBU;;ØKADM;Ordinær kvote;Hovedopptak;2022;48,8;;;
192468;Samfunnsøkonomi;NMBU;;ØKADM;Ordinær kvote;Hovedopptak;2021;52,3;;;
192468;Samfunnsøkonomi;NMBU;Ås;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;45,9;;;
192468;Samfunnsøkonomi;NMBU;Ås;ØKADM;Ordinær kvote;Hovedopptak;2026;48,4;;;
194239;Samfunnsøkonomi, årsstudium;NTNU;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;48,9;;;
194239;Samfunnsøkonomi, årsstudium;NTNU;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;48,8;;;
194239;Samfunnsøkonomi, årsstudium;NTNU;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2023;48,8;;;
194239;Samfunnsøkonomi, årsstudium;NTNU;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2022;48;;;
194239;Samfunnsøkonomi, årsstudium;NTNU;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2021;47,9;;;
194239;Samfunnsøkonomi, årsstudium;NTNU;;ØKADM;Ordinær kvote;Hovedopptak;2025;57,3;;;
194239;Samfunnsøkonomi, årsstudium;NTNU;;ØKADM;Ordinær kvote;Hovedopptak;2024;55,7;;;
194239;Samfunnsøkonomi, årsstudium;NTNU;;ØKADM;Ordinær kvote;Hovedopptak;2023;55;;;
194239;Samfunnsøkonomi, årsstudium;NTNU;;ØKADM;Ordinær kvote;Hovedopptak;2022;53,9;;;
194239;Samfunnsøkonomi, årsstudium;NTNU;;ØKADM;Ordinær kvote;Hovedopptak;2021;53,6;;;
