Studiekode;Studienavn;Lærested;Studiested;Utdanningsområde og -type;Kvote;Opptaksrunde;År;Poenggrense;2020;2021;2022;2023;2024;2025;2026;Kolonne1
204625;Økonomi og administrasjon, Steinkjer, årsstudium;NORD;;ØKADM;Ordinær kvote;Hovedopptak;2025;0;;;;;;0;;
204625;Økonomi og administrasjon, Steinkjer, årsstudium;NORD;;ØKADM;Ordinær kvote;Hovedopptak;2024;0;;;;;0;;;
204625;Økonomi og administrasjon, Steinkjer, årsstudium;NORD;;ØKADM;Ordinær kvote;Hovedopptak;2023;0;;;;0;;;;
204625;Økonomi og administrasjon, Steinkjer, årsstudium;NORD;;ØKADM;Ordinær kvote;Hovedopptak;2022;0;;;0;;;;;
204625;Økonomi og administrasjon, Steinkjer, årsstudium;NORD;;ØKADM;Ordinær kvote;Hovedopptak;2021;0;;0;;;;;;
204625;Økonomi og administrasjon, Steinkjer, årsstudium;NORD;;ØKADM;Ordinær kvote;Hovedopptak;2020;0;0;;;;;;;
204625;Økonomi og administrasjon, Steinkjer, årsstudium;NORD;Steinkjer;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;0;;;;;;;0;
204625;Økonomi og administrasjon, Steinkjer, årsstudium;NORD;Steinkjer;ØKADM;Ordinær kvote;Hovedopptak;2026;0;;;;;;;0;
209035;Økonomi og administrasjon, Lillehammer, bachelor;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;41,9;;;;;;41,9;;
209035;Økonomi og administrasjon, Lillehammer, bachelor;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;41,9;;;;;41,9;;;
209035;Økonomi og administrasjon, Lillehammer, bachelor;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2023;40,5;;;;40,5;;;;
209035;Økonomi og administrasjon, Lillehammer, bachelor;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2022;39,5;;;39,5;;;;;
209035;Økonomi og administrasjon, Lillehammer, bachelor;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2021;39,6;;39,6;;;;;;
209035;Økonomi og administrasjon, Lillehammer, bachelor;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2020;38,4;38,4;;;;;;;
209035;Økonomi og administrasjon, Lillehammer, bachelor;INN;;ØKADM;Ordinær kvote;Hovedopptak;2025;41,8;;;;;;41,8;;
209035;Økonomi og administrasjon, Lillehammer, bachelor;INN;;ØKADM;Ordinær kvote;Hovedopptak;2024;42,4;;;;;42,4;;;
209035;Økonomi og administrasjon, Lillehammer, bachelor;INN;;ØKADM;Ordinær kvote;Hovedopptak;2023;40,3;;;;40,3;;;;
209035;Økonomi og administrasjon, Lillehammer, bachelor;INN;;ØKADM;Ordinær kvote;Hovedopptak;2022;40,8;;;40,8;;;;;
209035;Økonomi og administrasjon, Lillehammer, bachelor;INN;;ØKADM;Ordinær kvote;Hovedopptak;2021;42,2;;42,2;;;;;;
209035;Økonomi og administrasjon, Lillehammer, bachelor;INN;;ØKADM;Ordinær kvote;Hovedopptak;2020;42,6;42,6;;;;;;;
209035;Økonomi og administrasjon, Lillehammer, bachelor;INN;Lillehammer;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;43,3;;;;;;;43,3;
209035;Økonomi og administrasjon, Lillehammer, bachelor;INN;Lillehammer;ØKADM;Ordinær kvote;Hovedopptak;2026;44,6;;;;;;;44,6;
209232;Økonomi og administrasjon, Lillehammer, årsstudium;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;0;;;;;;0;;
209232;Økonomi og administrasjon, Lillehammer, årsstudium;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;41,7;;;;;41,7;;;
209232;Økonomi og administrasjon, Lillehammer, årsstudium;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2023;43;;;;43;;;;
209232;Økonomi og administrasjon, Lillehammer, årsstudium;INN;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2022;0;;;0;;;;;
