Kvote;Lærested;Measure Names;Opptaksrunde;Studiekode;Studienavn;Studiested;Utdanningsområde og -type;År;Measure Values
Ordinær kvote;NTNU;Poenggrense;Hovedopptak;194 456;Allmenn litteraturvitenskap, bachelor;Trondheim;SPRÅK;2020;37
Ordinær kvote;NTNU;Søkere på venteliste;Hovedopptak;194 456;Allmenn litteraturvitenskap, bachelor;Trondheim;SPRÅK;2020;1
Førstegangsvitnemålskvote;NTNU;Poenggrense;Suppleringsopptak;194 456;Allmenn litteraturvitenskap, bachelor;Trondheim;SPRÅK;2020;0
Førstegangsvitnemålskvote;NTNU;Søkere på venteliste;Suppleringsopptak;194 456;Allmenn litteraturvitenskap, bachelor;Trondheim;SPRÅK;2020;0
Ordinær kvote;NTNU;Poenggrense;Suppleringsopptak;194 456;Allmenn litteraturvitenskap, bachelor;Trondheim;SPRÅK;2020;0
Ordinær kvote;NTNU;Søkere på venteliste;Suppleringsopptak;194 456;Allmenn litteraturvitenskap, bachelor;Trondheim;SPRÅK;2020;0
Førstegangsvitnemålskvote;NORD;Poenggrense;Hovedopptak;204 427;Animal Science;Bodø;HELSEFAG - VETERIN;2020;50.7
Førstegangsvitnemålskvote;NORD;Søkere på venteliste;Hovedopptak;204 427;Animal Science;Bodø;HELSEFAG - VETERIN;2020;36
Ordinær kvote;NORD;Poenggrense;Hovedopptak;204 427;Animal Science;Bodø;HELSEFAG - VETERIN;2020;50.5
Ordinær kvote;NORD;Søkere på venteliste;Hovedopptak;204 427;Animal Science;Bodø;HELSEFAG - VETERIN;2020;51
Førstegangsvitnemålskvote;NORD;Poenggrense;Suppleringsopptak;204 427;Animal Science;Bodø;HELSEFAG - VETERIN;2020;50.7
Førstegangsvitnemålskvote;NORD;Søkere på venteliste;Suppleringsopptak;204 427;Animal Science;Bodø;HELSEFAG - VETERIN;2020;25
Ordinær kvote;NORD;Poenggrense;Suppleringsopptak;204 427;Animal Science;Bodø;HELSEFAG - VETERIN;2020;50.5
Ordinær kvote;NORD;Søkere på venteliste;Suppleringsopptak;204 427;Animal Science;Bodø;HELSEFAG - VETERIN;2020;35
Førstegangsvitnemålskvote;HVO;Poenggrense;Hovedopptak;223 451;Animasjon;Volda;ESTETISK;2020;-1
Førstegangsvitnemålskvote;HVO;Søkere på venteliste;Hovedopptak;223 451;Animasjon;Volda;ESTETISK;2020;0
Ordinær kvote;HVO;Poenggrense;Hovedopptak;223 451;Animasjon;Volda;ESTETISK;2020;-1
Ordinær kvote;HVO;Søkere på venteliste;Hovedopptak;223 451;Animasjon;Volda;ESTETISK;2020;0
Førstegangsvitnemålskvote;HVO;Poenggrense;Suppleringsopptak;223 451;Animasjon;Volda;ESTETISK;2020;-1
Førstegangsvitnemålskvote;HVO;Søkere på venteliste;Suppleringsopptak;223 451;Animasjon;Volda;ESTETISK;2020;0
Ordinær kvote;HVO;Poenggrense;Suppleringsopptak;223 451;Animasjon;Volda;ESTETISK;2020;-1
